config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_mv_out_er_rods,nhi_er_ili,all,1,372.1155870356426,470.34174569371237,0.08274037444253483,0.15544325402817305,0.7710843373493976,0.5301204819277109,415,
tfm_mv_out_er_rods,nhi_er_ili,all,2,515.3881942091282,658.7005253435617,0.11596225298487825,0.21814159898347693,0.8024096385542169,0.5325301204819277,415,
tfm_mv_out_er_rods,nhi_er_ili,all,3,617.274573528489,770.3862410579819,0.1356584868430195,0.2597850039028272,0.7951807228915663,0.5855421686746988,415,
tfm_mv_out_er_rods,nhi_er_ili,all,4,720.5299569371235,897.2935793957079,0.1581827206695822,0.3019566248486097,0.7927710843373494,0.6048192771084338,415,
tfm_mv_out_er_rods,nhi_out_ili,all,1,3199.300444486278,4015.034967996988,0.07009947274425944,0.15615093864942345,0.7759036144578313,0.5277108433734939,415,
tfm_mv_out_er_rods,nhi_out_ili,all,2,4434.490310094545,5689.585711596385,0.09938577280679907,0.22202434801143087,0.7807228915662651,0.5469879518072289,415,
tfm_mv_out_er_rods,nhi_out_ili,all,3,5804.416042398762,7370.3320547816265,0.12884228144521687,0.28869324429412646,0.7831325301204819,0.5951807228915663,415,
tfm_mv_out_er_rods,nhi_out_ili,all,4,6874.384374058736,8731.818105233433,0.1529150936243248,0.3442618188419326,0.8,0.6024096385542169,415,
tfm_mv_out_er_rods,rods_ili,all,1,1015.0497135939593,1267.9537697665662,0.09906578855325483,0.24716659313030556,0.7807228915662651,0.5686746987951807,415,
tfm_mv_out_er_rods,rods_ili,all,2,1432.658059346762,1776.449026967244,0.13898903722450515,0.3490269411325832,0.7927710843373494,0.5710843373493976,415,
tfm_mv_out_er_rods,rods_ili,all,3,1738.9842334441937,2070.517886389307,0.16213919308476557,0.40983876222076804,0.8048192771084337,0.5951807228915663,415,
tfm_mv_out_er_rods,rods_ili,all,4,1966.8010566746152,2349.4627082548946,0.1842426145184034,0.4664104135126795,0.8,0.6024096385542169,415,
tfm_mv_out_er_rods_nocov,nhi_er_ili,all,1,407.91054239091784,498.7818359375,0.08774342538899037,0.16424005264581262,0.7927710843373494,0.563855421686747,415,
tfm_mv_out_er_rods_nocov,nhi_er_ili,all,2,560.9487686814969,682.273252776732,0.12011216098855429,0.22526503175316762,0.8216867469879519,0.6144578313253012,415,
tfm_mv_out_er_rods_nocov,nhi_er_ili,all,3,645.8593970543633,800.2741034450302,0.1409214860638145,0.2665068742756222,0.8313253012048193,0.6433734939759036,415,
tfm_mv_out_er_rods_nocov,nhi_er_ili,all,4,735.247116852828,919.4353450913027,0.16208606381009188,0.3063520344653806,0.8192771084337349,0.619277108433735,415,
tfm_mv_out_er_rods_nocov,nhi_out_ili,all,1,3410.343961052544,4114.260744540663,0.07183187972795785,0.16009084616181737,0.8,0.5807228915662651,415,
tfm_mv_out_er_rods_nocov,nhi_out_ili,all,2,4619.474014913822,5753.4900555346385,0.10050205489304481,0.22411203139748004,0.8144578313253013,0.6072289156626506,415,
tfm_mv_out_er_rods_nocov,nhi_out_ili,all,3,6010.668539261212,7549.6984751506025,0.131977822509477,0.2953149261613254,0.8048192771084337,0.5927710843373494,415,
tfm_mv_out_er_rods_nocov,nhi_out_ili,all,4,7148.249054446955,9054.155944088856,0.15856000287612163,0.356080466413348,0.7951807228915663,0.6072289156626506,415,
tfm_mv_out_er_rods_nocov,rods_ili,all,1,1135.2957722295432,1391.5839549604668,0.10872506957536458,0.2716271311496534,0.7590361445783133,0.5518072289156627,415,
tfm_mv_out_er_rods_nocov,rods_ili,all,2,1607.7377920797776,1931.1275025884788,0.1510910520189583,0.3787348497829127,0.8024096385542169,0.5807228915662651,415,
tfm_mv_out_er_rods_nocov,rods_ili,all,3,1876.9170875690263,2219.9598432793673,0.17384177168234394,0.43790093828370447,0.7855421686746988,0.6072289156626506,415,
tfm_mv_out_er_rods_nocov,rods_ili,all,4,2072.6712124278365,2472.6519990116717,0.1939030006696502,0.48911012560755535,0.8024096385542169,0.5927710843373494,415,
tfm_mv_out_er_rods_sev,nhi_er_ili,all,1,374.2871365409555,470.2120652532003,0.0827175616509762,0.15541274768186691,0.7686746987951807,0.5301204819277109,415,
tfm_mv_out_er_rods_sev,nhi_er_ili,all,2,512.5310175206032,651.4215532050075,0.11468081175912448,0.21667812172506182,0.8192771084337349,0.5493975903614458,415,
tfm_mv_out_er_rods_sev,nhi_er_ili,all,3,616.2591639605296,772.003233245482,0.13594322546074453,0.2610276341061841,0.8,0.6048192771084338,415,
tfm_mv_out_er_rods_sev,nhi_er_ili,all,4,720.7165706445574,895.8778732115964,0.1579331476635853,0.3016588629336694,0.7975903614457831,0.5951807228915663,415,
tfm_mv_out_er_rods_sev,nhi_out_ili,all,1,3170.860323690596,3990.3392460466866,0.06966830412392272,0.15541306599312557,0.7783132530120482,0.5325301204819277,415,
tfm_mv_out_er_rods_sev,nhi_out_ili,all,2,4399.603748431225,5660.338869540663,0.09887488850920567,0.22127365752072617,0.8072289156626506,0.563855421686747,415,
tfm_mv_out_er_rods_sev,nhi_out_ili,all,3,5728.314373431224,7249.515008471386,0.12673025395875037,0.2847562311163959,0.8096385542168675,0.6024096385542169,415,
tfm_mv_out_er_rods_sev,nhi_out_ili,all,4,6829.63585874749,8697.368952371988,0.15231180627092364,0.3431469855327203,0.8024096385542169,0.619277108433735,415,
tfm_mv_out_er_rods_sev,nidds_severe,all,1,4.0491710045443,5.102992407097874,0.2297896971512172,0.17880194188978618,0.8192771084337349,0.6168674698795181,415,
tfm_mv_out_er_rods_sev,nidds_severe,all,2,5.292787104125323,6.818627180536109,0.3080146162972119,0.2362480486809607,0.8578313253012049,0.6481927710843374,415,
tfm_mv_out_er_rods_sev,nidds_severe,all,3,6.1751677972979975,7.89622401961361,0.3579782573890811,0.272375699055646,0.8795180722891566,0.7036144578313253,415,
tfm_mv_out_er_rods_sev,nidds_severe,all,4,6.948852231997244,8.680558852689812,0.3950468169608808,0.2999818445087745,0.8506024096385543,0.689156626506024,415,
tfm_mv_out_er_rods_sev,rods_ili,all,1,1032.2421138198629,1288.9769378294427,0.1007083379676707,0.25145409381286526,0.7710843373493976,0.5445783132530121,415,
tfm_mv_out_er_rods_sev,rods_ili,all,2,1444.3955296184738,1777.2382494823041,0.1390507858454106,0.34970917465499846,0.8024096385542169,0.5710843373493976,415,
tfm_mv_out_er_rods_sev,rods_ili,all,3,1744.7869438169344,2085.5692735786897,0.163317844952366,0.4126556499416786,0.8,0.5879518072289157,415,
tfm_mv_out_er_rods_sev,rods_ili,all,4,1967.7366066087266,2337.721292592244,0.1833218639518022,0.4635943295232338,0.7951807228915663,0.5975903614457831,415,
tfm_po_all_lag1,nhi_out_ili,all,1,3272.5803524514727,4114.658574924699,0.07183882554546252,0.16004643619589287,0.7807228915662651,0.5421686746987951,415,
tfm_po_all_lag1,nhi_out_ili,all,2,4618.797155287818,5841.882040662651,0.10204608748121188,0.2279770955087163,0.7807228915662651,0.563855421686747,415,
tfm_po_all_lag1,nhi_out_ili,all,3,6020.120318043006,7523.728421498494,0.1315238346922495,0.29504317475757336,0.8,0.5927710843373494,415,
tfm_po_all_lag1,nhi_out_ili,all,4,7191.588372134372,9017.95087067018,0.15792596513910395,0.35511225152050846,0.8024096385542169,0.5927710843373494,415,
tfm_po_all_lag2,nhi_out_ili,all,1,3308.0509455530455,4112.642206325301,0.07180362127531233,0.15977314387695865,0.7855421686746988,0.5566265060240964,415,
tfm_po_all_lag2,nhi_out_ili,all,2,4646.179184446118,5865.359492658133,0.10245619198237965,0.2287440178508795,0.7951807228915663,0.5855421686746988,415,
tfm_po_all_lag2,nhi_out_ili,all,3,6010.781731300201,7482.065874435241,0.13079552318951798,0.29361697975286755,0.8048192771084337,0.6096385542168675,415,
tfm_po_all_lag2,nhi_out_ili,all,4,7214.298920055221,8993.111662274096,0.1574909709796213,0.3546313616300662,0.8,0.6096385542168675,415,
