config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
naive,nhi_out_ili,covid,1,1997.213772116065,2226.624203821656,9.418929757428826,0.08041422134176596,0.08948111502472511,0.9235668789808917,0.821656050955414,0.4968152866242038,0.5159235668789809,0.7643312101910829,79955.0,1.0,0.006535947712418301,0.9936305732484076,157,0.12675581378420722
naive,nhi_out_ili,covid,2,3095.763397027601,3398.853503184713,13.105358460473546,0.12274911834885621,0.1370977528724844,0.9363057324840764,0.7834394904458599,0.46496815286624205,0.3375796178343949,0.5987261146496815,79955.0,1.0,0.013071895424836602,0.9872611464968153,157,0.19579152300561373
naive,nhi_out_ili,covid,3,4191.478414720453,4587.484076433121,16.87931913179736,0.1656763450657555,0.18525553437044318,0.9171974522292994,0.7643312101910829,0.46496815286624205,0.27388535031847133,0.4713375796178344,79955.0,1.0,0.0196078431372549,0.9808917197452229,157,0.26415271902541393
naive,nhi_out_ili,covid,4,5283.942986553432,5851.235668789809,20.86892724256445,0.21131655686905787,0.2365284740452843,0.9235668789808917,0.7643312101910829,0.4585987261146497,0.20382165605095542,0.4140127388535032,79955.0,0.75,0.026143790849673203,0.9681528662420382,157,0.33188386810666354
snaive,nhi_out_ili,covid,1,15756.387912243454,22206.59872611465,87.54315729925281,0.8019882035525521,0.8678884682322691,0.8980891719745223,0.6751592356687898,0.5286624203821656,0.27388535031847133,0.050955414012738856,79955.0,0.5,0.06535947712418301,0.9235668789808917,157,1.0
snaive,nhi_out_ili,covid,2,15811.529271054495,22206.59872611465,87.54315729925281,0.8019882035525521,0.8693124034442069,0.89171974522293,0.6751592356687898,0.5477707006369427,0.35668789808917195,0.050955414012738856,79955.0,0.5,0.06535947712418301,0.9235668789808917,157,1.0
snaive,nhi_out_ili,covid,3,15867.633050247701,22206.59872611465,87.54315729925281,0.8019882035525521,0.8706830441014042,0.8980891719745223,0.6751592356687898,0.5796178343949044,0.4140127388535032,0.050955414012738856,79955.0,0.5,0.06535947712418301,0.9235668789808917,157,1.0
snaive,nhi_out_ili,covid,4,15921.060028308564,22206.59872611465,87.54315729925281,0.8019882035525521,0.8719698813062579,0.8980891719745223,0.6815286624203821,0.5796178343949044,0.4585987261146497,0.050955414012738856,79955.0,0.5,0.06535947712418301,0.9235668789808917,157,1.0
ma3,nhi_out_ili,post_covid,1,7338.085868205869,8552.37012987013,10.637205759054002,0.10488045094616291,0.33973960263357683,0.5974025974025974,0.37012987012987014,0.44805194805194803,0.42857142857142855,0.5974025974025974,79955.0,0.875,0.12162162162162163,0.8766233766233766,154,0.32061211236144505
ma3,nhi_out_ili,post_covid,2,8816.869108721627,10361.005017921148,12.658856313386393,0.1270762949401572,0.41206971700396094,0.632258064516129,0.3870967741935484,0.36774193548387096,0.3419354838709677,0.5483870967741935,79955.0,0.8271604938271605,0.14864864864864866,0.8387096774193549,155,0.3862796745231794
ma3,nhi_out_ili,post_covid,3,10641.44953941121,12546.375830959167,15.131035731899464,0.15393987151687943,0.4995338499329229,0.6217948717948718,0.358974358974359,0.4358974358974359,0.2692307692307692,0.46794871794871795,79955.0,0.7777777777777778,0.2,0.7884615384615384,156,0.46660427793448445
ma3,nhi_out_ili,post_covid,4,12188.177116021425,14590.400959345758,17.390879497583956,0.17908578879236173,0.5816932566963298,0.643312101910828,0.37579617834394907,0.46496815286624205,0.2484076433121019,0.4012738853503185,79955.0,0.7283950617283951,0.25,0.7388535031847133,157,0.5330162732067624
naive,nhi_out_ili,post_covid,1,6137.829365079365,7039.88961038961,8.898543878469097,0.08633241846843238,0.27906917562938816,0.6168831168831169,0.38311688311688313,0.42857142857142855,0.461038961038961,0.7727272727272727,79955.0,0.8875,0.10810810810810811,0.8896103896103896,154,0.2681710834944667
naive,nhi_out_ili,post_covid,2,8157.509863799283,9565.72258064516,11.721329891279057,0.11732226573302845,0.37974097710563887,0.6451612903225806,0.3870967741935484,0.45161290322580644,0.3032258064516129,0.6064516129032258,79955.0,0.8395061728395061,0.14864864864864866,0.8451612903225807,155,0.3573922008200135
naive,nhi_out_ili,post_covid,3,10383.44792022792,12112.28205128205,14.558282252375173,0.1486136847701954,0.48153866748872504,0.6410256410256411,0.41025641025641024,0.46794871794871795,0.2948717948717949,0.46794871794871795,79955.0,0.8024691358024691,0.18666666666666668,0.8076923076923077,156,0.45529147146210536
naive,nhi_out_ili,post_covid,4,12142.079079971692,14408.630573248407,17.347763489259986,0.1768546991147004,0.5739819905662941,0.6305732484076433,0.40764331210191085,0.4585987261146497,0.21656050955414013,0.4012738853503185,79955.0,0.7407407407407407,0.25,0.7452229299363057,157,0.5310003028821204
snaive,nhi_out_ili,post_covid,1,22887.737503607503,29017.071428571428,36.8378607760252,0.35584562996594776,1.1663101421520021,0.6428571428571429,0.4805194805194805,0.4805194805194805,0.3116883116883117,0.2012987012987013,79955.0,0.35,0.12162162162162163,0.6038961038961039,154,1.0
snaive,nhi_out_ili,post_covid,2,22825.092,28870.845161290323,36.651451795300396,0.3540969267500514,1.162706753412515,0.6451612903225806,0.4838709677419355,0.5032258064516129,0.36129032258064514,0.2064516129032258,79955.0,0.35802469135802467,0.12162162162162163,0.6064516129032258,155,1.0
snaive,nhi_out_ili,post_covid,3,22806.155113960114,28836.26282051282,36.61309080264709,0.35381138373545334,1.163342848657196,0.6474358974358975,0.4807692307692308,0.5064102564102564,0.41025641025641024,0.20512820512820512,79955.0,0.35802469135802467,0.13333333333333333,0.6025641025641025,156,1.0
snaive,nhi_out_ili,post_covid,4,22866.425902335457,28908.579617834395,36.71338987611995,0.3548302612211973,1.1679652834206566,0.6560509554140127,0.47770700636942676,0.5222929936305732,0.4267515923566879,0.20382165605095542,79955.0,0.35802469135802467,0.14473684210526316,0.5987261146496815,157,1.0
