config,target,segment,h,wis,mae,wape,mase,cov80,cov60,n,rel_wis_vs_snaive
tfm_cov_cny_hol,nhi_out_ili,all,1,2936.417721092704,3669.9366340361444,0.06407431693655151,0.14223263720485152,0.7590361445783133,0.5542168674698795,415,
tfm_cov_cny_hol,nhi_out_ili,all,2,4234.322117741801,5339.134610316265,0.09326408745091645,0.207276016474686,0.7855421686746988,0.5759036144578313,415,
tfm_cov_cny_hol,nhi_out_ili,all,3,5741.823016859103,7322.213445971385,0.12800111020720473,0.2859547696677245,0.7951807228915663,0.5783132530120482,415,
tfm_cov_cny_hol,nhi_out_ili,all,4,6967.534233182731,8824.607944277108,0.15454006642537815,0.3464919136320958,0.7710843373493976,0.5783132530120482,415,
tfm_cov_hol,nhi_out_ili,all,1,2931.394737700803,3635.182624246988,0.06346753822070285,0.14080616254367426,0.7831325301204819,0.5879518072289157,415,
tfm_cov_hol,nhi_out_ili,all,2,4212.610690888554,5249.175936558735,0.09169268792109757,0.2037461955435885,0.7783132530120482,0.5783132530120482,415,
tfm_cov_hol,nhi_out_ili,all,3,5721.271525267738,7267.037895331326,0.12703657512633962,0.28384604709831013,0.8048192771084337,0.5831325301204819,415,
tfm_cov_hol,nhi_out_ili,all,4,6998.034092306727,8852.106165286144,0.15502162627802543,0.34720962931056015,0.763855421686747,0.5686746987951807,415,
tfm_cov_season_cny_hol_slide260,nhi_out_ili,all,1,3028.981340675201,3766.167902861446,0.0657544420811477,0.14587220450821337,0.7686746987951807,0.5518072289156627,415,
tfm_cov_season_cny_hol_slide260,nhi_out_ili,all,2,4344.791656835676,5541.949472891566,0.09680686066420467,0.21524897788946074,0.7951807228915663,0.5614457831325301,415,
tfm_cov_season_cny_hol_slide260,nhi_out_ili,all,3,5852.782238432898,7453.432163027109,0.13029497142649746,0.2912939635867321,0.7927710843373494,0.5445783132530121,415,
tfm_cov_season_cny_hol_slide260,nhi_out_ili,all,4,7111.503557668173,9071.52131494729,0.15886411220119415,0.35584441939308115,0.7831325301204819,0.5542168674698795,415,
tfm_cov_season_cny_hol_sym,nhi_out_ili,all,1,2993.7994886839024,3799.623578689759,0.06633855286836647,0.14742023132276993,0.7975903614457831,0.5759036144578313,415,
tfm_cov_season_cny_hol_sym,nhi_out_ili,all,2,4362.9716825112955,5576.863149472892,0.09741673331652967,0.21630200267674682,0.8120481927710843,0.6048192771084338,415,
tfm_cov_season_cny_hol_sym,nhi_out_ili,all,3,5854.44984563253,7552.002522590362,0.13201810003381245,0.29493906280518944,0.8072289156626506,0.6024096385542169,415,
tfm_cov_season_cny_hol_sym,nhi_out_ili,all,4,7037.544947393742,9039.691509789156,0.1583066959131839,0.35477333258437826,0.8096385542168675,0.5975903614457831,415,
tfm_cov_season_hol,nhi_out_ili,all,1,2937.7122866465866,3645.918594691265,0.06365498014176717,0.14126109634920678,0.8024096385542169,0.6,415,
tfm_cov_season_hol,nhi_out_ili,all,2,4266.572309655287,5382.448983433735,0.09402070360262461,0.20933492625602593,0.7975903614457831,0.6,415,
tfm_cov_season_hol,nhi_out_ili,all,3,5801.806696891734,7399.089349585844,0.12934499359484983,0.2896560123543162,0.8144578313253013,0.6096385542168675,415,
tfm_cov_season_hol,nhi_out_ili,all,4,7144.500533383535,9086.445387801205,0.15912546853846657,0.3566290479085269,0.8,0.5927710843373494,415,
