p_star,alerts,alert_rate_per_site_week,sensitivity,false_alarm_per100,ppv,n_weeks,event_weeks,version,events_detected,lead_median,lead_ge3
0.1,2615,0.18697268697268699,0.7614826752618856,13.103177716751667,0.361376673040153,13986,1241,raw,0.7079646017699115,11.0,0.5707964601769911
0.15,2272,0.16244816244816246,0.7236099919419823,10.780698313063947,0.39524647887323944,13986,1241,raw,0.6769911504424779,10.0,0.5176991150442478
0.2,1847,0.13206063206063207,0.6502820306204674,8.160062769713614,0.43692474282620464,13986,1241,raw,0.6061946902654868,8.0,0.4424778761061947
0.25,1574,0.11254111254111254,0.5938759065269944,6.567281286779129,0.46823379923761116,13986,1241,raw,0.5619469026548672,8.0,0.4026548672566372
0.3,1305,0.0933075933075933,0.5253827558420628,5.123577873675951,0.49961685823754787,13986,1241,raw,0.5,5.0,0.3495575221238938
0.35,1107,0.07915057915057915,0.48509266720386784,3.962338171832091,0.5438121047877146,13986,1241,raw,0.46017699115044247,5.0,0.3185840707964602
0.4,923,0.06599456599456599,0.43190975020145045,3.036484896037662,0.580715059588299,13986,1241,raw,0.43805309734513276,4.0,0.28761061946902655
0.45,794,0.056771056771056774,0.38759065269943593,2.455865045115732,0.6057934508816121,13986,1241,raw,0.3938053097345133,4.0,0.23893805309734514
0.5,673,0.04811954811954812,0.3448831587429492,1.9223224794036877,0.6359583952451708,13986,1241,raw,0.336283185840708,4.0,0.2079646017699115
0.55,564,0.04032604032604033,0.29653505237711525,1.5378579835229502,0.6524822695035462,13986,1241,raw,0.3141592920353982,4.0,0.1902654867256637
0.6,473,0.03381953381953382,0.25543916196615635,1.224009415457042,0.6701902748414377,13986,1241,raw,0.26991150442477874,3.0,0.14601769911504425
0.65,395,0.028242528242528243,0.21434327155519742,1.012161632012554,0.6734177215189874,13986,1241,raw,0.22566371681415928,3.0,0.12831858407079647
0.7,335,0.023952523952523952,0.185334407735697,0.8238524911730091,0.6865671641791045,13986,1241,raw,0.18141592920353983,3.0,0.11061946902654868
0.75,270,0.019305019305019305,0.15551974214343273,0.6041584935268732,0.7148148148148148,13986,1241,raw,0.13716814159292035,3.0,0.07079646017699115
0.8,199,0.014228514228514228,0.11845286059629331,0.40800313848568065,0.7386934673366834,13986,1241,raw,0.10619469026548672,2.5,0.05309734513274336
0.85,136,0.009724009724009724,0.08138597904915391,0.2746174970576697,0.7426470588235294,13986,1241,raw,0.05752212389380531,2.0,0.02654867256637168
0.9,103,0.007364507364507365,0.06285253827558421,0.19615535504119264,0.7572815533980582,13986,1241,raw,0.03982300884955752,2.0,0.017699115044247787
0.1,2615,0.18697268697268699,0.7614826752618856,13.103177716751667,0.361376673040153,13986,1241,calibrated,0.7079646017699115,11.0,0.5707964601769911
0.15,2575,0.1841126841126841,0.7574536663980661,12.828560219693998,0.3650485436893204,13986,1241,calibrated,0.7035398230088495,11.0,0.5707964601769911
0.2,2266,0.16201916201916203,0.693795326349718,11.023930953315025,0.37996469549867606,13986,1241,calibrated,0.6592920353982301,9.0,0.5
0.25,1840,0.13156013156013155,0.6107977437550363,8.489603766182817,0.41195652173913044,13986,1241,calibrated,0.5752212389380531,7.5,0.40707964601769914
0.3,1195,0.08544258544258544,0.49073327961321517,4.597881522165555,0.5096234309623431,13986,1241,calibrated,0.4778761061946903,5.0,0.336283185840708
0.35,1045,0.07471757471757472,0.46253021756647866,3.695566888976069,0.5492822966507177,13986,1241,calibrated,0.45132743362831856,4.0,0.3053097345132743
0.4,857,0.061275561275561274,0.39000805801772764,2.926637897214594,0.5647607934655776,13986,1241,calibrated,0.4026548672566372,4.0,0.25663716814159293
0.45,631,0.045116545116545115,0.3013698630136986,2.01647704982346,0.5927099841521395,13986,1241,calibrated,0.3274336283185841,4.0,0.19469026548672566
0.5,454,0.03246103246103246,0.23448831587429492,1.278932914868576,0.6409691629955947,13986,1241,calibrated,0.23008849557522124,3.5,0.13716814159292035
0.55,207,0.014800514800514801,0.12409347300564061,0.41584935268732837,0.7439613526570048,13986,1241,calibrated,0.10176991150442478,3.0,0.05752212389380531
0.6,98,0.007007007007007007,0.053988718775181306,0.24323264025107885,0.6836734693877551,13986,1241,calibrated,0.061946902654867256,2.5,0.030973451327433628
0.65,73,0.00521950521950522,0.040290088638195005,0.1804629266378972,0.684931506849315,13986,1241,calibrated,0.04424778761061947,2.5,0.022123893805309734
0.7,68,0.004862004862004862,0.037066881547139406,0.17261671243624951,0.6764705882352942,13986,1241,calibrated,0.03982300884955752,2.0,0.017699115044247787
0.75,68,0.004862004862004862,0.037066881547139406,0.17261671243624951,0.6764705882352942,13986,1241,calibrated,0.03982300884955752,2.0,0.017699115044247787
0.8,0,0.0,0.0,0.0,,13986,1241,calibrated,0.0,,
0.85,0,0.0,0.0,0.0,,13986,1241,calibrated,0.0,,
0.9,0,0.0,0.0,0.0,,13986,1241,calibrated,0.0,,
