version,brier,logloss,ece,auc
raw,0.0576092285520091,0.21615063787558322,0.019487492955059874,0.8285192788525771
isotonic (LOYO),0.05832913442191392,0.2549666829581538,0.013664175118773466,0.7365460882808142
Platt (LOYO),0.05811793188729457,0.22087053648880467,0.012219037187346649,0.6571984728477485
