raw,calibrated
0.0,0.0
0.01,0.0
0.02,0.03257304524173694
0.03,0.0487213999056894
0.04,0.06486975456964186
0.05,0.08101810923359433
0.06,0.0971664638975468
0.07,0.11331481856149928
0.08,0.12946317322545173
0.09,0.14561152788940418
0.1,0.16175988255335666
0.11,0.179042949413894
0.12,0.1921764672357408
0.13,0.20019766351184745
0.14,0.20821885978795412
0.15,0.21624005606406074
0.16,0.22331235554140405
0.17,0.2289724256449997
0.18,0.2346324957485953
0.19,0.24029256585219091
0.2,0.2431436199251319
0.21,0.2447515381196438
0.22,0.2463594563141557
0.23,0.25574719290936826
0.24,0.2675392713979105
0.25,0.27511929014973907
0.26,0.27611199554862553
0.27,0.27710470094751205
0.28,0.2780974063463985
0.29,0.28069137913730163
0.3,0.2840563429137031
0.31,0.2874213066901045
0.32,0.29078627046650596
0.33,0.29411764705882354
0.34,0.2986719778050063
0.35,0.32352407048580045
0.36,0.34616814423494585
0.37,0.36819587792440966
0.38,0.3886377731495675
0.39,0.40659402183846793
0.4,0.42673316667525746
0.41,0.4276396499410199
0.42,0.4282613443089968
0.43,0.4288830386769738
0.44,0.42950473304495074
0.45,0.4301264274129277
0.46,0.43074812178090466
0.47,0.43136981614888165
0.48,0.43557729874198614
0.49,0.439800613492203
0.5,0.4440239282424199
0.51,0.4482472429926367
0.52,0.45247055774285355
0.53,0.4566938724930704
0.54,0.46091718724328723
0.55,0.4655351589144041
0.56,0.4717083851808053
0.57,0.4778816114472065
0.58,0.49149337626150247
0.59,0.5009933910643602
0.6,0.5035499965405269
0.61,0.5061066020166936
0.62,0.5086632074928602
0.63,0.5112198129690269
0.64,0.5137764184451935
0.65,0.5163330239213603
0.66,0.5188896293975269
0.67,0.5214462348736936
0.68,0.5240028403498602
0.69,0.5265594458260269
0.7,0.5291160513021935
0.71,0.5316726567783602
0.72,0.5339968313983274
0.73,0.5349517043988442
0.74,0.5359065773993611
0.75,0.5368614503998779
0.76,0.5378163234003948
0.77,0.5387711964009115
0.78,0.5397260694014283
0.79,0.5406809424019452
0.8,0.541635815402462
0.81,0.5425906884029789
0.82,0.5435455614034956
0.83,0.5445004344040124
0.84,0.5454553074045293
0.85,0.5464101804050461
0.86,0.547365053405563
0.87,0.5483199264060797
0.88,0.5492747994065965
0.89,0.5502296724071134
0.9,0.5511845454076302
0.91,0.5521394184081471
0.92,0.5530942914086638
0.93,0.5540491644091806
0.94,0.5550040374096975
0.95,0.5559589104102143
0.96,0.5569137834107312
0.97,0.5578686564112479
0.98,0.7777777777777778
0.99,0.7948717948717948
1.0,0.7948717948717948
