config,target,segment,h,wis,mae,mape,wape,mase,cov80,cov60,dir_hit,dir_hit3,hit_tol10,thr,thr_hit_rate,thr_false_alarm,thr_accuracy,n,rel_wis_vs_snaive
tfm_cov_cny_hol,ev_out,all,1,344.20735909784975,432.20610469220634,9.239496338318407,0.07040135046131386,0.09792868354020695,0.744578313253012,0.491566265060241,0.672289156626506,0.4987951807228916,0.6819277108433734,9819.0,0.9320388349514563,0.019230769230769232,0.9686746987951808,415,
tfm_cov_cny_hol,ev_out,all,2,612.213023395666,762.4076583678464,15.45049214465314,0.12394177315645193,0.17347346719425474,0.7710843373493976,0.5277108433734939,0.653012048192771,0.4650602409638554,0.4819277108433735,9819.0,0.8846153846153846,0.028938906752411574,0.9493975903614458,415,
tfm_cov_cny_hol,ev_out,all,3,835.2861218441474,1060.0695730186371,21.67184680587806,0.17200295924307024,0.24147210340411096,0.8072289156626506,0.5493975903614458,0.6337349397590362,0.4819277108433735,0.3469879518072289,9819.0,0.8285714285714286,0.02903225806451613,0.9349397590361446,415,
tfm_cov_cny_hol,ev_out,all,4,1033.0729781757238,1301.5156314711974,27.06820905533251,0.21082268623123712,0.29720126993112483,0.8048192771084337,0.5975903614457831,0.6216867469879518,0.5084337349397591,0.30120481927710846,9819.0,0.819047619047619,0.03870967741935484,0.9253012048192771,415,
tfm_cov_hol,ev_out,all,1,340.97959524295095,427.90632647778614,9.197199251342502,0.06970096657109813,0.09678779345116353,0.7734939759036145,0.5108433734939759,0.6650602409638554,0.5036144578313253,0.6843373493975904,9819.0,0.9223300970873787,0.019230769230769232,0.9662650602409638,415,
tfm_cov_hol,ev_out,all,2,613.1452221385542,765.8271625564759,15.566163930576398,0.12449766921521131,0.17422010951340816,0.7807228915662651,0.5421686746987951,0.6289156626506024,0.4819277108433735,0.4939759036144578,9819.0,0.8846153846153846,0.028938906752411574,0.9493975903614458,415,
tfm_cov_hol,ev_out,all,3,840.706859717516,1068.9314559017319,21.93082845790993,0.17344085550870622,0.24345951241694716,0.8,0.5807228915662651,0.6385542168674698,0.4963855421686747,0.36626506024096384,9819.0,0.8095238095238095,0.025806451612903226,0.9325301204819277,415,
tfm_cov_hol,ev_out,all,4,1038.600302825887,1308.2120440747365,27.422268348510077,0.21190738752798222,0.29842647039697134,0.8240963855421687,0.6024096385542169,0.636144578313253,0.5204819277108433,0.3156626506024096,9819.0,0.8095238095238095,0.035483870967741936,0.9253012048192771,415,
tfm_cov_school,ev_out,all,1,361.47237928275604,451.91936947006775,9.793029266052818,0.07361241214530198,0.10250706675934043,0.7349397590361446,0.4963855421686747,0.6602409638554216,0.4939759036144578,0.6795180722891566,9819.0,0.9320388349514563,0.019230769230769232,0.9686746987951808,415,
tfm_cov_school,ev_out,all,2,625.3010578642696,776.4619075913027,15.8783693442941,0.12622652010255017,0.17685305188339462,0.7734939759036145,0.5373493975903615,0.6506024096385542,0.4674698795180723,0.491566265060241,9819.0,0.8846153846153846,0.02572347266881029,0.9518072289156626,415,
tfm_cov_school,ev_out,all,3,844.3522200651565,1065.1453201477786,21.898333564070626,0.17282653115646437,0.24287164718733995,0.8216867469879519,0.5879518072289157,0.6337349397590362,0.491566265060241,0.38072289156626504,9819.0,0.8476190476190476,0.03225806451612903,0.9373493975903614,415,
tfm_cov_school,ev_out,all,4,1027.5428942331828,1283.3124882341867,27.12774931427792,0.20787409655449188,0.2930916419551297,0.8168674698795181,0.6024096385542169,0.6385542168674698,0.5108433734939759,0.3156626506024096,9819.0,0.8,0.035483870967741936,0.9228915662650602,415,
tfm_cov_school_hol,ev_out,all,1,349.3709626526941,439.15224197571536,9.545716079302286,0.07153279548242704,0.09949354785410629,0.7349397590361446,0.4891566265060241,0.6795180722891566,0.5012048192771085,0.6771084337349398,9819.0,0.941747572815534,0.019230769230769232,0.9710843373493976,415,
tfm_cov_school_hol,ev_out,all,2,609.0310969790621,762.0371552616717,15.664766548350592,0.12388154184655457,0.17348573706954504,0.7734939759036145,0.5277108433734939,0.6506024096385542,0.4795180722891566,0.4819277108433735,9819.0,0.8846153846153846,0.02572347266881029,0.9518072289156626,415,
tfm_cov_school_hol,ev_out,all,3,830.1189569214357,1048.8761224585844,21.84364614669774,0.1701867514492859,0.23911681983799016,0.8,0.5614457831325301,0.619277108433735,0.4843373493975904,0.363855421686747,9819.0,0.8571428571428571,0.02903225806451613,0.9421686746987952,415,
tfm_cov_school_hol,ev_out,all,4,1016.9338883659639,1278.3498476327184,27.08306296813929,0.207070235888432,0.2918814224142028,0.8144578313253013,0.5879518072289157,0.6602409638554216,0.5084337349397591,0.3108433734939759,9819.0,0.8,0.035483870967741936,0.9228915662650602,415,
tfm_cov_school_hol_log1p,ev_out,all,1,338.2519228843418,424.0937538263713,8.884022529291355,0.06907994280378549,0.09589920310518096,0.7518072289156627,0.5277108433734939,0.6867469879518072,0.5132530120481927,0.689156626506024,9819.0,0.9514563106796117,0.016025641025641024,0.9759036144578314,415,
tfm_cov_school_hol_log1p,ev_out,all,2,598.365682650224,752.396471060283,14.926623799066133,0.12231429172616688,0.1709942605722252,0.7518072289156627,0.5325301204819277,0.6433734939759036,0.4939759036144578,0.4891566265060241,9819.0,0.8942307692307693,0.02572347266881029,0.9542168674698795,415,
tfm_cov_school_hol_log1p,ev_out,all,3,828.8265034368084,1045.6430718117308,20.330974052606308,0.16966216863623715,0.23812426659329877,0.7783132530120482,0.5783132530120482,0.6409638554216868,0.5566265060240964,0.38313253012048193,9819.0,0.8666666666666667,0.025806451612903226,0.946987951807229,415,
tfm_cov_school_hol_log1p,ev_out,all,4,1021.8703368528705,1292.022063213731,25.35987068964617,0.20928489481823945,0.29492048156261563,0.8120481927710843,0.6168674698795181,0.6506024096385542,0.563855421686747,0.327710843373494,9819.0,0.8476190476190476,0.03870967741935484,0.9325301204819277,415,
